email_text,intent
Happy with how you resolved reward.,Appreciation
Is there any information about software?,Inquiry
password reset is not working properly.,Complaint
Your account will be deactivated unless you verify account.,Spam
I wish to join your company as a server issue.,Job Application
I want to update my order.,Request
Can you help me student discount?,Request
Is there any information about API integration?,Inquiry
Congratulations! You have been selected for API integration.,Spam
Congratulations! You have been selected for password reset.,Spam
Thank you for helping me with password reset.,Appreciation
Could you explain how delivery works?,Inquiry
I want to know more about subscription.,Inquiry
Please find my resume for the upgrade role.,Job Application
Could you explain how reward works?,Inquiry
I want to apply for the delivery position.,Job Application
I need support regarding exclusive deal.,Request
Your account will be deactivated unless you verify API integration.,Spam
Claim your free order now!,Spam
Your account will be deactivated unless you verify order.,Spam
Thank you for helping me with invoice.,Appreciation
I am not satisfied with student discount.,Complaint
Your support for service update was amazing!,Appreciation
Please find my resume for the subscription role.,Job Application
I wish to join your company as a application.,Job Application
Thank you for helping me with offer.,Appreciation
You won a delivery prize. Click to claim.,Spam
I wish to join your company as a order.,Job Application
I am not satisfied with invoice.,Complaint
I want to apply for the delivery position.,Job Application
Kindly consider my application for data request.,Job Application
I want to report a complaint about student discount.,Complaint
Click here to get a free account.,Spam
Please find my resume for the order role.,Job Application
I need help with software.,Request
Your support for service update was amazing!,Appreciation
Claim your free payment issue now!,Spam
There is an issue with offer.,Complaint
Happy with how you resolved payment issue.,Appreciation
Claim your free payment issue now!,Spam
Happy with how you resolved payment issue.,Appreciation
Happy with how you resolved order.,Appreciation
I wish to join your company as a subscription.,Job Application
Your account will be deactivated unless you verify student discount.,Spam
Please find my resume for the data request role.,Job Application
I want to know more about reward.,Inquiry
You won a exclusive deal prize. Click to claim.,Spam
Is there any information about software?,Inquiry
Can you help me upgrade?,Request
You won a account prize. Click to claim.,Spam
You won a software prize. Click to claim.,Spam
I want to know more about delivery.,Inquiry
Claim your free upgrade now!,Spam
Great job handling student discount.,Appreciation
Could you explain how delivery works?,Inquiry
Is there any information about order?,Inquiry
I am not satisfied with server issue.,Complaint
I am not satisfied with payment issue.,Complaint
Congratulations! You have been selected for upgrade.,Spam
Can you provide details on server issue?,Inquiry
I wish to join your company as a premium plan.,Job Application
I appreciate your assistance with exclusive deal.,Appreciation
Your support for offer was amazing!,Appreciation
Please assist me in reward.,Request
Kindly consider my application for reward.,Job Application
software is not working properly.,Complaint
Great job handling order.,Appreciation
I need help with ticket.,Request
Can you clarify the process of application?,Inquiry
Could you explain how delivery works?,Inquiry
Can you clarify the process of student discount?,Inquiry
API integration is not working properly.,Complaint
I want to report a complaint about API integration.,Complaint
I received a faulty order.,Complaint
Can you help me software?,Request
Please assist me in software.,Request
Click here to get a free exclusive deal.,Spam
Your account will be deactivated unless you verify password reset.,Spam
There is an issue with payment issue.,Complaint
Your account will be deactivated unless you verify account.,Spam
I am not satisfied with payment issue.,Complaint
I wish to join your company as a exclusive deal.,Job Application
I wish to join your company as a invoice.,Job Application
Great job handling student discount.,Appreciation
Kindly consider my application for invoice.,Job Application
Can you clarify the process of exclusive deal?,Inquiry
invoice is not working properly.,Complaint
Can you provide details on delivery?,Inquiry
I appreciate your assistance with service update.,Appreciation
Can you clarify the process of data request?,Inquiry
Congratulations! You have been selected for account.,Spam
Please find my resume for the reward role.,Job Application
I received a faulty order.,Complaint
Thank you for helping me with invoice.,Appreciation
Is there any information about software?,Inquiry
I received a faulty software.,Complaint
Thank you for helping me with offer.,Appreciation
I want to report a complaint about invoice.,Complaint
Could you explain how student discount works?,Inquiry
Please assist me in delivery.,Request
I need help with server issue.,Request
Your account will be deactivated unless you verify invoice.,Spam
Happy with how you resolved offer.,Appreciation
Please assist me in invoice.,Request
Your support for payment issue was amazing!,Appreciation
I received a faulty offer.,Complaint
Please assist me in student discount.,Request
I received a faulty student discount.,Complaint
Thank you for helping me with premium plan.,Appreciation
Click here to get a free service update.,Spam
Congratulations! You have been selected for software.,Spam
Could you explain how offer works?,Inquiry
I need support regarding server issue.,Request
Thank you for helping me with ticket.,Appreciation
Click here to get a free order.,Spam
Click here to get a free delivery.,Spam
I want to report a complaint about subscription.,Complaint
I want to know more about student discount.,Inquiry
Your account will be deactivated unless you verify premium plan.,Spam
Claim your free delivery now!,Spam
Can you provide details on premium plan?,Inquiry
order is not working properly.,Complaint
Your account will be deactivated unless you verify service update.,Spam
I want to update my account.,Request
I am not satisfied with order.,Complaint
Click here to get a free account.,Spam
Can you clarify the process of offer?,Inquiry
There is an issue with service update.,Complaint
Could you explain how data request works?,Inquiry
Please find my resume for the premium plan role.,Job Application
Your account will be deactivated unless you verify data request.,Spam
Click here to get a free subscription.,Spam
I appreciate your assistance with password reset.,Appreciation
I want to know more about server issue.,Inquiry
I want to update my ticket.,Request
I received a faulty invoice.,Complaint
Can you clarify the process of payment issue?,Inquiry
I want to know more about password reset.,Inquiry
Is there any information about service update?,Inquiry
Could you explain how student discount works?,Inquiry
I am not satisfied with order.,Complaint
Can you help me account?,Request
I wish to join your company as a student discount.,Job Application
I want to report a complaint about student discount.,Complaint
Click here to get a free exclusive deal.,Spam
Can you help me application?,Request
There is an issue with student discount.,Complaint
Can you clarify the process of delivery?,Inquiry
Great job handling data request.,Appreciation
Congratulations! You have been selected for password reset.,Spam
I want to apply for the upgrade position.,Job Application
Could you explain how server issue works?,Inquiry
There is an issue with delivery.,Complaint
I need help with student discount.,Request
Happy with how you resolved ticket.,Appreciation
Kindly consider my application for delivery.,Job Application
Please find my resume for the account role.,Job Application
Congratulations! You have been selected for data request.,Spam
data request is not working properly.,Complaint
I need help with upgrade.,Request
Please assist me in invoice.,Request
Can you provide details on reward?,Inquiry
Could you explain how invoice works?,Inquiry
I want to update my data request.,Request
I wish to join your company as a ticket.,Job Application
Your support for student discount was amazing!,Appreciation
I want to apply for the service update position.,Job Application
Can you help me password reset?,Request
I want to know more about order.,Inquiry
I wish to join your company as a service update.,Job Application
I want to apply for the software position.,Job Application
Please assist me in upgrade.,Request
I want to apply for the offer position.,Job Application
I want to update my premium plan.,Request
I appreciate your assistance with exclusive deal.,Appreciation
Could you explain how reward works?,Inquiry
Happy with how you resolved API integration.,Appreciation
You won a delivery prize. Click to claim.,Spam
Please find my resume for the payment issue role.,Job Application
Can you help me premium plan?,Request
application is not working properly.,Complaint
Happy with how you resolved payment issue.,Appreciation
Thank you for helping me with offer.,Appreciation
I received a faulty reward.,Complaint
Is there any information about exclusive deal?,Inquiry
Claim your free account now!,Spam
Kindly consider my application for application.,Job Application
I am interested in the job opening for exclusive deal.,Job Application
I want to know more about data request.,Inquiry
I want to know more about payment issue.,Inquiry
You won a ticket prize. Click to claim.,Spam
I appreciate your assistance with reward.,Appreciation
I wish to join your company as a delivery.,Job Application
Claim your free account now!,Spam
I am interested in the job opening for subscription.,Job Application
I am not satisfied with reward.,Complaint
Kindly consider my application for invoice.,Job Application
Thank you for helping me with payment issue.,Appreciation
Is there any information about data request?,Inquiry
Can you help me order?,Request
Can you provide details on invoice?,Inquiry
Great job handling invoice.,Appreciation
Your account will be deactivated unless you verify password reset.,Spam
Can you provide details on reward?,Inquiry
There is an issue with service update.,Complaint
invoice is not working properly.,Complaint
delivery is not working properly.,Complaint
I need help with premium plan.,Request
Can you help me password reset?,Request
I want to apply for the invoice position.,Job Application
Click here to get a free application.,Spam
Your support for offer was amazing!,Appreciation
Happy with how you resolved order.,Appreciation
Congratulations! You have been selected for reward.,Spam
Can you provide details on upgrade?,Inquiry
I need help with API integration.,Request
There is an issue with software.,Complaint
I want to update my reward.,Request
data request is not working properly.,Complaint
Please assist me in software.,Request
API integration is not working properly.,Complaint
Can you clarify the process of reward?,Inquiry
Is there any information about account?,Inquiry
I need help with invoice.,Request
There is an issue with password reset.,Complaint
I need support regarding exclusive deal.,Request
Can you provide details on reward?,Inquiry
I need help with service update.,Request
I wish to join your company as a server issue.,Job Application
I appreciate your assistance with password reset.,Appreciation
Your account will be deactivated unless you verify exclusive deal.,Spam
Please find my resume for the service update role.,Job Application
Can you help me delivery?,Request
Thank you for helping me with account.,Appreciation
Claim your free data request now!,Spam
I need help with offer.,Request
